geometry,speaker_id,recording_id,buffer_id,time_sec,depth_ms,gt_20ms,gt_50ms,gt_100ms
current_A,s01,s0103a,s01_s0103a_raw_nemo_buffer_000078,384.776,10.312,False,False,False
proper_D,s01,s0103a,s01_s0103a_raw_nemo_buffer_000006,55.808,16.0,False,False,False
proper_D,s01,s0103a,s01_s0103a_raw_nemo_buffer_000038,163.4,29.307,True,False,False
proper_D,s01,s0103a,s01_s0103a_raw_nemo_buffer_000048,217.224,60.125,True,True,False
proper_D,s01,s0103a,s01_s0103a_raw_nemo_buffer_000060,273.264,32.0,True,False,False
proper_D,s01,s0103a,s01_s0103a_raw_nemo_buffer_000067,329.832,193.0,True,True,True
proper_D,s01,s0103a,s01_s0103a_raw_nemo_buffer_000068,337.6,9.895,False,False,False
proper_D,s01,s0103a,s01_s0103a_raw_nemo_buffer_000070,345.64,24.0,True,False,False
proper_D,s01,s0103a,s01_s0103a_raw_nemo_buffer_000078,384.776,10.312,False,False,False
min_quiet_run_64ms,s01,s0103a,s01_s0103a_raw_nemo_buffer_000001,14.832,31.941,True,False,False
min_quiet_run_64ms,s01,s0103a,s01_s0103a_raw_nemo_buffer_000002,19.76,12.982,False,False,False
min_quiet_run_64ms,s01,s0103a,s01_s0103a_raw_nemo_buffer_000006,55.816,8.0,False,False,False
min_quiet_run_64ms,s01,s0103a,s01_s0103a_raw_nemo_buffer_000038,163.416,13.307,False,False,False
min_quiet_run_64ms,s01,s0103a,s01_s0103a_raw_nemo_buffer_000048,217.208,76.125,True,True,False
min_quiet_run_64ms,s01,s0103a,s01_s0103a_raw_nemo_buffer_000060,273.24,8.0,False,False,False
min_quiet_run_64ms,s01,s0103a,s01_s0103a_raw_nemo_buffer_000060,281.152,0.5,False,False,False
min_quiet_run_64ms,s01,s0103a,s01_s0103a_raw_nemo_buffer_000067,329.224,121.0,True,True,True
min_quiet_run_64ms,s01,s0103a,s01_s0103a_raw_nemo_buffer_000068,337.608,1.895,False,False,False
min_quiet_run_64ms,s01,s0103a,s01_s0103a_raw_nemo_buffer_000070,345.648,32.0,True,False,False
min_quiet_run_64ms,s01,s0103a,s01_s0103a_raw_nemo_buffer_000078,384.776,10.312,False,False,False
quiet_run_score,s01,s0103a,s01_s0103a_raw_nemo_buffer_000001,14.832,31.941,True,False,False
quiet_run_score,s01,s0103a,s01_s0103a_raw_nemo_buffer_000002,19.76,12.982,False,False,False
quiet_run_score,s01,s0103a,s01_s0103a_raw_nemo_buffer_000006,55.816,8.0,False,False,False
quiet_run_score,s01,s0103a,s01_s0103a_raw_nemo_buffer_000035,156.384,12.577,False,False,False
quiet_run_score,s01,s0103a,s01_s0103a_raw_nemo_buffer_000038,163.416,13.307,False,False,False
quiet_run_score,s01,s0103a,s01_s0103a_raw_nemo_buffer_000048,217.208,76.125,True,True,False
quiet_run_score,s01,s0103a,s01_s0103a_raw_nemo_buffer_000060,273.24,8.0,False,False,False
quiet_run_score,s01,s0103a,s01_s0103a_raw_nemo_buffer_000060,279.816,45.5,True,False,False
quiet_run_score,s01,s0103a,s01_s0103a_raw_nemo_buffer_000067,329.776,191.0,True,True,True
quiet_run_score,s01,s0103a,s01_s0103a_raw_nemo_buffer_000068,337.608,1.895,False,False,False
quiet_run_score,s01,s0103a,s01_s0103a_raw_nemo_buffer_000070,345.648,32.0,True,False,False
quiet_run_score,s01,s0103a,s01_s0103a_raw_nemo_buffer_000078,384.776,10.312,False,False,False
current_A,s02,s0201b,s02_s0201b_raw_nemo_buffer_000017,219.84,7.112,False,False,False
current_A,s02,s0201b,s02_s0201b_raw_nemo_buffer_000021,248.16,3.284,False,False,False
proper_D,s02,s0201b,s02_s0201b_raw_nemo_buffer_000021,242.2,30.934,True,False,False
min_quiet_run_64ms,s02,s0201b,s02_s0201b_raw_nemo_buffer_000017,219.84,7.112,False,False,False
min_quiet_run_64ms,s02,s0201b,s02_s0201b_raw_nemo_buffer_000021,248.16,3.284,False,False,False
quiet_run_score,s02,s0201b,s02_s0201b_raw_nemo_buffer_000017,219.84,7.112,False,False,False
quiet_run_score,s02,s0201b,s02_s0201b_raw_nemo_buffer_000021,248.16,3.284,False,False,False
current_A,s02,s0202b,s02_s0202b_raw_nemo_buffer_000011,93.616,31.456,True,False,False
current_A,s02,s0202b,s02_s0202b_raw_nemo_buffer_000041,389.96,30.0,True,False,False
current_A,s02,s0202b,s02_s0202b_raw_nemo_buffer_000047,426.672,14.705,False,False,False
proper_D,s02,s0202b,s02_s0202b_raw_nemo_buffer_000047,426.672,14.705,False,False,False
min_quiet_run_64ms,s02,s0202b,s02_s0202b_raw_nemo_buffer_000019,138.384,45.0,True,False,False
min_quiet_run_64ms,s02,s0202b,s02_s0202b_raw_nemo_buffer_000047,426.672,14.705,False,False,False
quiet_run_score,s02,s0202b,s02_s0202b_raw_nemo_buffer_000004,44.272,8.0,False,False,False
quiet_run_score,s02,s0202b,s02_s0202b_raw_nemo_buffer_000007,71.944,111.193,True,True,True
quiet_run_score,s02,s0202b,s02_s0202b_raw_nemo_buffer_000011,93.616,31.456,True,False,False
quiet_run_score,s02,s0202b,s02_s0202b_raw_nemo_buffer_000041,389.96,30.0,True,False,False
quiet_run_score,s02,s0202b,s02_s0202b_raw_nemo_buffer_000047,426.672,14.705,False,False,False
current_A,s02,s0203a,s02_s0203a_raw_nemo_buffer_000015,77.712,24.998,True,False,False
current_A,s02,s0203a,s02_s0203a_raw_nemo_buffer_000038,197.512,24.124,True,False,False
min_quiet_run_64ms,s02,s0203a,s02_s0203a_raw_nemo_buffer_000015,76.44,37.433,True,False,False
min_quiet_run_64ms,s02,s0203a,s02_s0203a_raw_nemo_buffer_000038,197.512,24.124,True,False,False
quiet_run_score,s02,s0203a,s02_s0203a_raw_nemo_buffer_000015,76.44,37.433,True,False,False
quiet_run_score,s02,s0203a,s02_s0203a_raw_nemo_buffer_000038,197.512,24.124,True,False,False
current_A,s02,s0203b,s02_s0203b_raw_nemo_buffer_000010,267.224,30.0,True,False,False
current_A,s02,s0203b,s02_s0203b_raw_nemo_buffer_000014,309.392,38.231,True,False,False
proper_D,s02,s0203b,s02_s0203b_raw_nemo_buffer_000009,256.064,37.0,True,False,False
proper_D,s02,s0203b,s02_s0203b_raw_nemo_buffer_000014,306.528,33.935,True,False,False
quiet_run_score,s02,s0203b,s02_s0203b_raw_nemo_buffer_000010,267.224,30.0,True,False,False
quiet_run_score,s02,s0203b,s02_s0203b_raw_nemo_buffer_000014,309.392,38.231,True,False,False
current_A,s02,s0204a,s02_s0204a_raw_nemo_buffer_000000,10.392,73.0,True,True,False
current_A,s02,s0204a,s02_s0204a_raw_nemo_buffer_000012,113.688,40.0,True,False,False
current_A,s02,s0204a,s02_s0204a_raw_nemo_buffer_000015,142.376,9.634,False,False,False
current_A,s02,s0204a,s02_s0204a_raw_nemo_buffer_000021,177.24,49.0,True,False,False
proper_D,s02,s0204a,s02_s0204a_raw_nemo_buffer_000015,142.376,9.634,False,False,False
min_quiet_run_64ms,s02,s0204a,s02_s0204a_raw_nemo_buffer_000000,13.672,45.0,True,False,False
min_quiet_run_64ms,s02,s0204a,s02_s0204a_raw_nemo_buffer_000012,113.688,40.0,True,False,False
min_quiet_run_64ms,s02,s0204a,s02_s0204a_raw_nemo_buffer_000015,142.376,9.634,False,False,False
min_quiet_run_64ms,s02,s0204a,s02_s0204a_raw_nemo_buffer_000021,177.24,49.0,True,False,False
quiet_run_score,s02,s0204a,s02_s0204a_raw_nemo_buffer_000012,113.688,40.0,True,False,False
quiet_run_score,s02,s0204a,s02_s0204a_raw_nemo_buffer_000021,177.24,49.0,True,False,False
current_A,s02,s0204b,s02_s0204b_raw_nemo_buffer_000004,22.856,52.0,True,True,False
current_A,s02,s0204b,s02_s0204b_raw_nemo_buffer_000009,52.368,8.0,False,False,False
current_A,s02,s0204b,s02_s0204b_raw_nemo_buffer_000009,60.8,27.0,True,False,False
current_A,s02,s0204b,s02_s0204b_raw_nemo_buffer_000035,386.024,37.376,True,False,False
current_A,s02,s0204b,s02_s0204b_raw_nemo_buffer_000035,392.392,42.935,True,False,False
current_A,s02,s0204b,s02_s0204b_raw_nemo_buffer_000037,432.712,56.0,True,True,False
proper_D,s02,s0204b,s02_s0204b_raw_nemo_buffer_000004,22.872,36.0,True,False,False
proper_D,s02,s0204b,s02_s0204b_raw_nemo_buffer_000035,386.0,13.376,False,False,False
proper_D,s02,s0204b,s02_s0204b_raw_nemo_buffer_000035,392.384,34.935,True,False,False
min_quiet_run_64ms,s02,s0204b,s02_s0204b_raw_nemo_buffer_000004,22.856,52.0,True,True,False
min_quiet_run_64ms,s02,s0204b,s02_s0204b_raw_nemo_buffer_000009,52.368,8.0,False,False,False
min_quiet_run_64ms,s02,s0204b,s02_s0204b_raw_nemo_buffer_000035,386.024,37.376,True,False,False
min_quiet_run_64ms,s02,s0204b,s02_s0204b_raw_nemo_buffer_000035,392.392,42.935,True,False,False
min_quiet_run_64ms,s02,s0204b,s02_s0204b_raw_nemo_buffer_000037,424.424,66.0,True,True,False
min_quiet_run_64ms,s02,s0204b,s02_s0204b_raw_nemo_buffer_000039,441.192,4.337,False,False,False
quiet_run_score,s02,s0204b,s02_s0204b_raw_nemo_buffer_000009,52.368,8.0,False,False,False
quiet_run_score,s02,s0204b,s02_s0204b_raw_nemo_buffer_000035,386.024,37.376,True,False,False
quiet_run_score,s02,s0204b,s02_s0204b_raw_nemo_buffer_000035,392.392,42.935,True,False,False
quiet_run_score,s02,s0204b,s02_s0204b_raw_nemo_buffer_000037,432.712,56.0,True,True,False
current_A,s02,s0205b,s02_s0205b_raw_nemo_buffer_000015,203.064,23.875,True,False,False
current_A,s02,s0205b,s02_s0205b_raw_nemo_buffer_000018,216.76,7.523,False,False,False
current_A,s02,s0205b,s02_s0205b_raw_nemo_buffer_000019,222.344,18.627,False,False,False
current_A,s02,s0205b,s02_s0205b_raw_nemo_buffer_000020,231.144,24.0,True,False,False
current_A,s02,s0205b,s02_s0205b_raw_nemo_buffer_000038,377.304,9.025,False,False,False
proper_D,s02,s0205b,s02_s0205b_raw_nemo_buffer_000018,216.76,7.523,False,False,False
proper_D,s02,s0205b,s02_s0205b_raw_nemo_buffer_000019,224.456,71.652,True,True,False
proper_D,s02,s0205b,s02_s0205b_raw_nemo_buffer_000020,231.128,8.0,False,False,False
proper_D,s02,s0205b,s02_s0205b_raw_nemo_buffer_000031,318.208,4.103,False,False,False
